latitude,longitude,speed_knots,course,is_anomaly
-5.95496,105.746872,4.0,311,0
-5.942253,105.731786,4.07,311,0
-5.929547,105.7167,4.15,311,0
-5.91684,105.701614,4.22,312,0
-5.904134,105.686528,4.29,312,0
-5.891427,105.671442,4.36,313,0
-5.878721,105.656355,4.44,313,0
-5.866014,105.641269,4.51,313,0
-5.853308,105.626183,4.58,314,0
-5.840601,105.611097,4.65,314,0
-5.827895,105.596011,4.73,315,0
-5.815188,105.580925,4.8,315,0
-5.802481,105.565839,4.87,315,0
-5.789775,105.550753,4.95,316,0
-5.777068,105.535667,5.02,316,0
-5.764362,105.520581,5.09,317,0
-5.751655,105.505495,5.16,317,0
-5.738949,105.490408,5.24,317,0
-5.726242,105.475322,5.31,318,0
-5.713536,105.460236,5.38,318,0
-5.700829,105.44515,5.45,319,0
-5.688123,105.430064,5.53,319,0
-5.675416,105.414978,5.6,320,0
-5.50583,105.307442,0.2,66,0
-5.506077,105.307928,0.27,69,0
-5.506323,105.308414,0.34,72,0
-5.50657,105.3089,0.41,75,0
-5.506817,105.309386,0.48,78,0
-5.507064,105.309872,0.54,81,0
-5.50731,105.310357,0.61,84,0
-5.507557,105.310843,0.68,87,0
-5.507804,105.311329,0.75,90,0
-5.508051,105.311815,0.82,93,0
-5.508297,105.312301,0.89,96,0
-5.508544,105.312787,0.96,99,0
-5.508791,105.313273,1.03,102,0
-5.509037,105.313759,1.1,105,0
-5.509284,105.314245,1.17,108,0
-5.509531,105.314731,1.23,111,0
-5.509778,105.315217,1.3,114,0
-5.510024,105.315703,1.37,117,0
-5.510271,105.316188,1.44,120,0
-5.510518,105.316674,1.51,123,0
-5.510764,105.31716,1.58,126,0
-5.511011,105.317646,1.65,129,0
-5.511258,105.318132,1.72,132,0
-5.511505,105.318618,1.79,135,0
-5.511751,105.319104,1.86,138,0
-5.511998,105.31959,1.92,141,0
-5.512245,105.320076,1.99,144,0
-5.512492,105.320562,2.06,147,0
-5.512738,105.321048,2.13,150,0
-5.512985,105.321533,2.2,153,0
-5.513232,105.322019,2.27,156,0
-5.513478,105.322505,2.34,159,0
-5.513725,105.322991,2.41,162,0
-5.513972,105.323477,2.48,165,0
-5.514219,105.323963,2.54,168,0
-5.514465,105.324449,2.61,171,0
-5.514712,105.324935,2.68,174,0
-5.514959,105.325421,2.75,177,0
-5.515206,105.325907,2.82,180,0
-5.515452,105.326393,2.89,183,0
-5.515699,105.326879,2.96,186,0
-5.515946,105.327364,3.03,189,0
-5.516192,105.32785,3.1,192,0
-5.516439,105.328336,3.17,195,0
-5.516686,105.328822,3.23,198,0
-5.516933,105.329308,3.3,201,0
-5.517179,105.329794,3.37,204,0
-5.517426,105.33028,3.44,207,0
-5.517673,105.330766,3.51,210,0
-5.517919,105.331252,3.58,213,0
-5.518166,105.331738,3.65,216,0
-5.518413,105.332224,3.72,219,0
-5.51866,105.33271,3.79,222,0
-5.518906,105.333195,3.86,225,0
-5.519153,105.333681,3.92,228,0
-5.5194,105.334167,3.99,231,0
-5.519647,105.334653,4.06,234,0
-5.519893,105.335139,4.13,237,0
-5.52014,105.335625,4.2,240,0
4.01419,96.159317,0.0,117,0
4.014185,96.159319,0.0,117,0
4.01418,96.159321,0.0,118,0
4.014175,96.159322,0.0,119,0
4.01417,96.159324,0.0,120,0
4.014165,96.159326,0.0,121,0
4.01416,96.159328,0.0,122,0
4.014155,96.159329,0.0,123,0
4.01415,96.159331,0.0,123,0
4.014145,96.159333,0.0,124,0
4.01414,96.159335,0.0,125,0
4.014135,96.159336,0.0,126,0
4.01413,96.159338,0.0,127,0
4.014125,96.15934,0.0,128,0
4.01412,96.159342,0.0,129,0
4.014114,96.159344,0.0,130,0
4.014109,96.159345,0.0,130,0
4.014104,96.159347,0.0,131,0
4.014099,96.159349,0.0,132,0
4.014094,96.159351,0.0,133,0
4.014089,96.159352,0.0,134,0
4.014084,96.159354,0.0,135,0
4.014079,96.159356,0.0,136,0
4.014074,96.159358,0.0,136,0
4.014069,96.159359,0.0,137,0
4.014064,96.159361,0.0,138,0
4.014059,96.159363,0.0,139,0
4.014054,96.159365,0.0,140,0
4.014049,96.159366,0.0,141,0
4.014044,96.159368,0.0,142,0
4.014039,96.15937,0.0,143,0
-0.266033,117.670372,0.0,114,0
-0.266002,117.670326,0.0,117,0
-0.265971,117.67028,0.0,120,0
-0.265941,117.670235,0.0,124,0
-0.26591,117.670189,0.0,127,0
-0.265879,117.670143,0.0,131,0
-0.265848,117.670097,0.0,134,0
-0.265817,117.670051,0.0,137,0
-0.265787,117.670006,0.0,141,0
-0.265756,117.66996,0.0,144,0
-0.265725,117.669914,0.0,148,0
-0.265694,117.669868,0.0,151,0
-0.265663,117.669822,0.0,154,0
-0.265633,117.669777,0.0,158,0
-0.265602,117.669731,0.0,161,0
-0.265571,117.669685,0.0,165,0
-0.26554,117.669639,0.0,168,0
-0.265509,117.669593,0.0,171,0
-0.265479,117.669548,0.0,175,0
-0.265448,117.669502,0.0,178,0
-0.265417,117.669456,0.0,182,0
-6.4326,110.725601,0.0,145,0
-6.432604,110.725603,0.0,140,0
-6.432607,110.725605,0.0,136,0
-6.432611,110.725607,0.0,132,0
-6.432614,110.725609,0.0,128,0
-6.432618,110.725611,0.0,123,0
-6.432621,110.725613,0.0,119,0
-6.432625,110.725615,0.0,115,0
-6.432629,110.725616,0.0,111,0
-6.432632,110.725618,0.0,106,0
-6.432636,110.72562,0.0,102,0
-6.432639,110.725622,0.0,98,0
-6.432643,110.725624,0.0,94,0
-6.432646,110.725626,0.0,89,0
-6.43265,110.725628,0.0,85,0
-6.432654,110.72563,0.0,81,0
-6.432657,110.725632,0.0,77,0
-6.432661,110.725634,0.0,72,0
-6.432664,110.725636,0.0,68,0
-6.432668,110.725638,0.0,64,0
-6.432671,110.72564,0.0,60,0
-6.432675,110.725641,0.0,55,0
-6.432679,110.725643,0.0,51,0
-6.432682,110.725645,0.0,47,0
-6.432686,110.725647,0.0,43,0
-6.432689,110.725649,0.0,38,0
-6.432693,110.725651,0.0,34,0
-6.432696,110.725653,0.0,30,0
-6.4327,110.725655,0.0,26,0
1.98453,118.16552,0.2,270,0
1.984512,118.165518,0.21,264,0
1.984493,118.165515,0.23,258,0
1.984475,118.165513,0.24,252,0
1.984457,118.165511,0.25,246,0
1.984438,118.165509,0.26,240,0
1.98442,118.165506,0.28,234,0
1.984402,118.165504,0.29,228,0
1.984383,118.165502,0.3,223,0
1.984365,118.1655,0.31,217,0
1.984347,118.165498,0.33,211,0
1.984328,118.165495,0.34,205,0
1.98431,118.165493,0.35,199,0
1.984292,118.165491,0.36,193,0
1.984273,118.165488,0.38,187,0
1.984255,118.165486,0.39,181,0
1.984237,118.165484,0.4,176,0
1.984218,118.165482,0.41,170,0
1.9842,118.16548,0.42,164,0
1.984182,118.165477,0.44,158,0
1.984163,118.165475,0.45,152,0
1.984145,118.165473,0.46,146,0
1.984127,118.16547,0.47,140,0
1.984108,118.165468,0.49,134,0
1.98409,118.165466,0.5,129,0
-3.41919,116.612396,13.1,24,0
-3.369809,116.63403,13.09,24,0
-3.320428,116.655665,13.08,25,0
-3.271047,116.677299,13.08,26,0
-3.221667,116.698933,13.07,27,0
-3.172286,116.720567,13.06,28,0
-3.122905,116.742202,13.05,29,0
-3.073524,116.763836,13.04,29,0
-3.024143,116.78547,13.04,30,0
-2.974762,116.807105,13.03,31,0
-2.925381,116.828739,13.02,32,0
-2.876,116.850373,13.01,33,0
-2.82662,116.872008,13.0,34,0
-2.777239,116.893642,12.99,34,0
-2.727858,116.915276,12.99,35,0
-2.678477,116.93691,12.98,36,0
-2.629096,116.958545,12.97,37,0
-2.579715,116.980179,12.96,38,0
-2.530334,117.001813,12.95,39,0
-2.480954,117.023448,12.95,39,0
-2.431573,117.045082,12.94,40,0
-2.382192,117.066716,12.93,41,0
-2.332811,117.088351,12.92,42,0
-2.28343,117.109985,12.91,43,0
-2.234049,117.131619,12.91,44,0
-2.184668,117.153253,12.9,44,0
-2.135288,117.174888,12.89,45,0
-2.085907,117.196522,12.88,46,0
-2.036526,117.218156,12.87,47,0
-1.987145,117.239791,12.86,48,0
-1.937764,117.261425,12.86,49,0
-1.888383,117.283059,12.85,49,0
-1.839002,117.304694,12.84,50,0
-1.789621,117.326328,12.83,51,0
-1.740241,117.347962,12.82,52,0
-1.69086,117.369596,12.82,53,0
-1.641479,117.391231,12.81,54,0
-1.592098,117.412865,12.8,55,0
-6.818048,113.82325,10.6,272,0
-6.824675,113.801063,10.4,274,0
-6.831302,113.778877,10.2,277,0
-6.837929,113.75669,9.99,280,0
-6.844556,113.734504,9.79,283,0
-6.851183,113.712317,9.59,285,0
-6.85781,113.690131,9.39,288,0
-6.864437,113.667944,9.19,291,0
-6.871064,113.645757,8.98,294,0
-6.877691,113.623571,8.78,297,0
-6.884318,113.601384,8.58,299,0
-6.890945,113.579198,8.38,302,0
-6.897572,113.557011,8.18,305,0
-6.904199,113.534824,7.97,308,0
-6.910826,113.512638,7.77,311,0
-6.917453,113.490451,7.57,313,0
-6.92408,113.468265,7.37,316,0
-6.930707,113.446078,7.17,319,0
-6.937334,113.423892,6.97,322,0
-6.943961,113.401705,6.76,324,0
-6.950588,113.379518,6.56,327,0
-6.957215,113.357332,6.36,330,0
-6.963842,113.335145,6.16,333,0
-6.970469,113.312959,5.96,336,0
-6.977096,113.290772,5.75,338,0
-6.983723,113.268586,5.55,341,0
-6.99035,113.246399,5.35,344,0
-6.996977,113.224212,5.15,347,0
-7.003604,113.202026,4.95,350,0
-7.010231,113.179839,4.74,352,0
-7.016858,113.157653,4.54,355,0
-7.023485,113.135466,4.34,358,0
-7.030112,113.11328,4.14,1,0
-7.036739,113.091093,3.94,4,0
-7.043366,113.068906,3.73,6,0
-7.049993,113.04672,3.53,9,0
-7.05662,113.024533,3.33,12,0
-7.063247,113.002347,3.13,15,0
-7.069874,112.98016,2.93,17,0
-7.076501,112.957974,2.72,20,0
-7.083128,112.935787,2.52,23,0
-7.089755,112.9136,2.32,26,0
-7.096382,112.891414,2.12,29,0
-7.103009,112.869227,1.92,31,0
-7.109636,112.847041,1.72,34,0
-7.116263,112.824854,1.51,37,0
-7.12289,112.802667,1.31,40,0
-7.129517,112.780481,1.11,43,0
-7.136144,112.758294,0.91,45,0
-7.142771,112.736108,0.71,48,0
-7.149398,112.713921,0.5,51,0
-7.156025,112.691735,0.3,54,0
-7.162652,112.669548,0.1,57,0
-5.880742,106.032112,0.1,185,0
-5.880743,106.032113,0.1,190,0
-5.880744,106.032113,0.1,195,0
-5.880745,106.032114,0.1,200,0
-5.880747,106.032115,0.1,206,0
-5.880748,106.032115,0.1,211,0
-5.880749,106.032116,0.1,216,0
-5.88075,106.032116,0.1,221,0
-5.880751,106.032117,0.1,227,0
-5.880752,106.032118,0.1,232,0
-5.880754,106.032118,0.1,237,0
-5.880755,106.032119,0.1,242,0
-5.880756,106.032119,0.1,248,0
-5.880757,106.03212,0.1,253,0
-5.880758,106.032121,0.1,258,0
-5.880759,106.032121,0.1,263,0
-5.880761,106.032122,0.1,269,0
-5.880762,106.032123,0.1,274,0
-5.880763,106.032123,0.1,279,0
-5.880764,106.032124,0.1,284,0
-5.880765,106.032125,0.1,290,0
-5.880767,106.032125,0.1,295,0
-5.880768,106.032126,0.1,300,0
-5.880769,106.032126,0.1,305,0
-5.88077,106.032127,0.1,311,0
-5.515274,105.341797,0.0,219,0
-5.517379,105.342257,0.0,217,0
-5.519485,105.342716,0.0,215,0
-5.52159,105.343176,0.0,214,0
-5.523695,105.343635,0.0,212,0
-5.5258,105.344095,0.0,211,0
-5.527906,105.344554,0.0,209,0
-5.530011,105.345014,0.0,208,0
-5.532116,105.345473,0.0,206,0
-5.534221,105.345933,0.0,205,0
-5.536327,105.346393,0.0,203,0
-5.538432,105.346852,0.0,202,0
-5.540537,105.347312,0.0,200,0
-5.542642,105.347771,0.0,199,0
-5.544748,105.348231,0.0,197,0
-5.546853,105.34869,0.0,196,0
-5.548958,105.34915,0.0,194,0
-5.551064,105.349609,0.0,192,0
-5.553169,105.350069,0.0,191,0
-5.555274,105.350528,0.0,189,0
-5.557379,105.350988,0.0,188,0
-5.559485,105.351448,0.0,186,0
-5.56159,105.351907,0.0,185,0
-5.563695,105.352367,0.0,183,0
-5.5658,105.352826,0.0,182,0
-5.567906,105.353286,0.0,180,0
-5.570011,105.353745,0.0,179,0
-5.572116,105.354205,0.0,177,0
-5.574221,105.354664,0.0,176,0
-5.576327,105.355124,0.0,174,0
-5.578432,105.355583,0.0,173,0
-5.580537,105.356043,0.0,171,0
-5.582643,105.356503,0.0,169,0
-5.584748,105.356962,0.0,168,0
-5.586853,105.357422,0.0,166,0
-5.588958,105.357881,0.0,165,0
-5.591064,105.358341,0.0,163,0
-5.593169,105.3588,0.0,162,0
-5.595274,105.35926,0.0,160,0
-5.597379,105.359719,0.0,159,0
-5.599485,105.360179,0.0,157,0
-5.60159,105.360639,0.0,156,0
-5.603695,105.361098,0.0,154,0
-5.6058,105.361558,0.0,153,0
-5.607906,105.362017,0.0,151,0
-5.610011,105.362477,0.0,150,0
-5.612116,105.362936,0.0,148,0
-5.614222,105.363396,0.0,146,0
-5.616327,105.363855,0.0,145,0
-5.618432,105.364315,0.0,143,0
-5.620537,105.364775,0.0,142,0
-5.622643,105.365234,0.0,140,0
-5.624748,105.365694,0.0,139,0
-5.626853,105.366153,0.0,137,0
-5.628958,105.366613,0.0,136,0
-5.631064,105.367072,0.0,134,0
-5.633169,105.367532,0.0,133,0
-5.635274,105.367991,0.0,131,0
-5.637379,105.368451,0.0,130,0
-5.639485,105.36891,0.0,128,0
-5.64159,105.36937,0.0,127,0
-5.527833,112.711624,12.7,250,0
-5.548227,112.66278,12.7,249,0
-5.568622,112.613936,12.7,249,0
-5.589016,112.565092,12.7,249,0
-5.609411,112.516247,12.7,248,0
-5.629805,112.467403,12.7,248,0
-5.6502,112.418559,12.7,248,0
-5.670594,112.369715,12.7,248,0
-5.690989,112.320871,12.7,247,0
-5.711383,112.272027,12.7,247,0
-5.731778,112.223183,12.7,247,0
-5.752172,112.174339,12.7,247,0
-5.772567,112.125494,12.7,246,0
-5.792961,112.07665,12.7,246,0
-5.813356,112.027806,12.7,246,0
-5.83375,111.978962,12.7,246,0
-5.854144,111.930118,12.7,245,0
-5.874539,111.881274,12.7,245,0
-5.894933,111.83243,12.7,245,0
-5.915328,111.783585,12.7,244,0
-5.935722,111.734741,12.7,244,0
-5.956117,111.685897,12.7,244,0
-5.976511,111.637053,12.7,244,0
-5.996906,111.588209,12.7,243,0
-6.0173,111.539365,12.7,243,0
-6.037695,111.490521,12.7,243,0
-6.058089,111.441677,12.7,243,0
-6.078484,111.392832,12.7,242,0
-6.098878,111.343988,12.7,242,0
-6.119273,111.295144,12.7,242,0
-6.139667,111.2463,12.7,242,0
3.683287,99.769249,8.3,295,0
3.697493,99.734674,8.31,294,0
3.711698,99.700098,8.32,294,0
3.725904,99.665523,8.33,293,0
3.740109,99.630948,8.34,293,0
3.754315,99.596373,8.35,292,0
3.76852,99.561797,8.36,292,0
3.782726,99.527222,8.37,291,0
3.796931,99.492647,8.38,291,0
3.811137,99.458072,8.39,290,0
3.825343,99.423496,8.4,290,0
3.839548,99.388921,8.41,289,0
3.853754,99.354346,8.42,289,0
3.867959,99.319771,8.43,288,0
3.882165,99.285196,8.44,288,0
3.89637,99.25062,8.45,287,0
3.910576,99.216045,8.46,287,0
3.924781,99.18147,8.47,286,0
3.938987,99.146895,8.48,286,0
3.953192,99.112319,8.49,285,0
3.967398,99.077744,8.5,285,0
